Time,AQI,PM2.5,PM10,CO,NO2,SO2,O3
2026-01-01T00:00,52,12.4,14.1,369.0,22.1,7.8,74.0
2026-01-01T01:00,52,12.0,13.7,330.0,22.3,7.4,72.0
2026-01-01T02:00,51,12.2,13.9,305.0,22.4,7.1,68.0
2026-01-01T03:00,51,13.0,14.8,301.0,22.9,7.2,64.0
2026-01-01T04:00,51,14.2,16.1,362.0,24.5,7.9,59.0
2026-01-01T05:00,50,15.7,17.6,549.0,28.4,9.7,52.0
2026-01-01T06:00,49,18.4,20.5,800.0,33.3,12.1,45.0
2026-01-01T07:00,48,23.3,25.7,974.0,34.0,11.7,40.0
2026-01-01T08:00,46,21.7,24.6,1003.0,31.1,11.7,54.0
2026-01-01T09:00,46,20.7,24.1,954.0,27.1,11.8,74.0
2026-01-01T10:00,46,19.2,22.2,895.0,23.6,12.0,94.0
2026-01-01T11:00,50,19.8,21.1,842.0,21.0,12.4,115.0
2026-01-01T12:00,61,22.2,23.3,777.0,18.9,13.0,136.0
2026-01-01T13:00,64,24.4,25.4,714.0,18.1,13.7,152.0
2026-01-01T14:00,66,26.5,27.4,639.0,18.5,14.6,164.0
2026-01-01T15:00,67,28.4,29.2,566.0,20.1,15.6,171.0
2026-01-01T16:00,67,29.8,30.6,550.0,23.5,16.5,167.0
2026-01-01T17:00,62,32.7,33.5,655.0,31.0,17.3,143.0
2026-01-01T18:00,46,36.4,37.4,817.0,40.4,17.9,108.0
2026-01-01T19:00,46,48.7,49.6,898.0,55.7,21.2,78.0
2026-01-01T20:00,48,32.4,34.3,810.0,46.3,18.2,80.0
2026-01-01T21:00,49,22.1,23.9,641.0,33.5,14.0,82.0
2026-01-01T22:00,49,17.6,19.2,514.0,24.7,10.8,81.0
2026-01-01T23:00,50,16.4,18.0,477.0,23.6,9.5,74.0
2026-01-02T00:00,50,16.3,17.6,481.0,26.5,9.1,63.0
2026-01-02T01:00,51,18.9,20.1,509.0,30.2,9.4,52.0
2026-01-02T02:00,52,21.8,23.1,566.0,34.4,10.4,41.0
2026-01-02T03:00,53,26.0,27.1,646.0,39.4,12.0,29.0
2026-01-02T04:00,56,29.5,30.4,710.0,43.0,13.8,21.0
2026-01-02T05:00,58,31.2,31.9,736.0,44.4,16.0,16.0
2026-01-02T06:00,60,32.7,33.5,745.0,44.4,18.4,13.0
2026-01-02T07:00,61,41.2,43.4,761.0,44.2,21.0,19.0
2026-01-02T08:00,61,34.0,36.1,810.0,42.0,20.7,36.0
2026-01-02T09:00,62,30.6,32.5,866.0,38.9,20.3,61.0
2026-01-02T10:00,62,25.9,27.0,877.0,35.1,19.3,84.0
2026-01-02T11:00,62,22.6,23.7,804.0,30.0,17.4,105.0
2026-01-02T12:00,62,21.4,22.7,685.0,24.3,15.0,125.0
2026-01-02T13:00,62,21.6,23.3,582.0,20.6,13.2,139.0
2026-01-02T14:00,63,22.1,24.4,483.0,19.0,12.3,147.0
2026-01-02T15:00,63,22.6,25.9,400.0,19.5,11.9,148.0
2026-01-02T16:00,62,24.0,27.8,425.0,24.3,12.7,140.0
2026-01-02T17:00,62,28.3,32.7,657.0,37.5,15.3,114.0
2026-01-02T18:00,61,39.9,44.1,997.0,55.0,19.0,78.0
2026-01-02T19:00,62,41.8,44.9,1242.0,59.0,18.5,51.0
2026-01-02T20:00,61,36.7,39.2,1290.0,56.0,18.5,46.0
2026-01-02T21:00,62,35.6,37.7,1244.0,52.1,18.4,39.0
2026-01-02T22:00,62,38.5,41.0,1208.0,49.8,18.4,32.0
2026-01-02T23:00,63,40.4,42.7,1256.0,51.0,18.1,26.0
2026-01-03T00:00,63,41.0,43.1,1315.0,53.9,17.9,19.0
2026-01-03T01:00,64,41.6,43.7,1271.0,55.9,18.9,15.0
2026-01-03T02:00,65,43.1,45.2,995.0,56.1,22.3,14.0
2026-01-03T03:00,66,44.0,46.1,616.0,55.4,26.8,14.0
